ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: cartflows_redirect_flow_id","Meta: cartflows_add_to_cart_text"
175,simple,,"Hair Oil (Trial Course)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,450,"১৬৫মি.লি ৩৯৯ টাকা মাত্র!",,,https://organicghorbd.com/wp-content/uploads/2023/10/IMG-20231010-WA0012.jpg,,,,,,,,,0,,
302,simple,,"১৬৫মি.লি ৩৯৯ টাকা মাত্র!",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,399,"১৬৫মি.লি ৩৯৯ টাকা মাত্র!",,,"https://organicghorbd.com/wp-content/uploads/2023/11/IMG-20231010-WA0012.jpg, https://organicghorbd.com/wp-content/uploads/2023/11/IMG-20231010-WA0012.jpg",,,,,,,,,0,,
304,simple,,"৪৩০মি.লি+(১৫০ গ্রাম ফেস প্যাক ফ্রি) ৮০০ টাকা!",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,800,"৪৩০মি.লি+(১৫০ গ্রাম ফেস প্যাক ফ্রি) ৮০০ টাকা!",,,https://organicghorbd.com/wp-content/uploads/2023/11/IMG-20231010-WA0012.jpg,,,,,,,,,0,,
